Customer_Name,Total_Sales
Sean Miller,25043.07
Tamara Chand,19052.22
Raymond Buch,15117.35
Tom Ashbrook,14595.62
Adrian Barton,14473.57
Ken Lonsdale,14175.23
Sanjit Chand,14142.34
Hunter Lopez,12873.30
Sanjit Engle,12209.44
Christopher Conant,12129.08
Todd Sumrall,11891.75
Greg Tran,11820.12
Becky Martin,11789.64
Seth Vernon,11470.94
Caroline Jumper,11164.97
Clay Ludtke,10880.56
Maria Etezadi,10663.73
Karen Ferguson,10604.26
Bill Shonely,10501.65
Edward Hooks,10310.87
John Lee,9799.94
Grant Thornton,9351.20
Helen Wasserman,9300.25
Tom Boeckenhauer,9133.99
